    x(m)                          z(m)                          y(m)                        u(m/s)
   400000.00000000000       -11.000000000000000        11.000000000000000        1.1818181818181819     
   399600.00000000000       -10.992000000000001        10.997371165467397        1.1821006861004213     
   399200.00000000000       -10.984000000000002        10.994746670835580        1.1823828587595848     
   398800.00000000000       -10.976000000000003        10.992126513510080        1.1826646995030585     
   398400.00000000000       -10.968000000000004        10.989510690884012        1.1829462080403383     
   398000.00000000000       -10.960000000000004        10.986899200338110        1.1832273840830303     
   397600.00000000000       -10.952000000000005        10.984292039240740        1.1835082273448541     
   397200.00000000000       -10.944000000000006        10.981689204947942        1.1837887375416418     
   396800.00000000000       -10.936000000000007        10.979090694803444        1.1840689143913421     
   396400.00000000000       -10.928000000000008        10.976496506138695        1.1843487576140206     
   396000.00000000000       -10.920000000000009        10.973906636272888        1.1846282669318611     
   395600.00000000000       -10.912000000000010        10.971321082512997        1.1849074420691670     
   395200.00000000000       -10.904000000000011        10.968739842153791        1.1851862827523636     
   394800.00000000000       -10.896000000000011        10.966162912477872        1.1854647887099983     
   394400.00000000000       -10.888000000000012        10.963590290755695        1.1857429596727425     
   394000.00000000000       -10.880000000000013        10.961021974245602        1.1860207953733923     
   393600.00000000000       -10.872000000000014        10.958457960193849        1.1862982955468706     
   393200.00000000000       -10.864000000000015        10.955898245834632        1.1865754599302274     
   392800.00000000000       -10.856000000000016        10.953342828390115        1.1868522882626413     
   392400.00000000000       -10.848000000000017        10.950791705070460        1.1871287802854209     
   392000.00000000000       -10.840000000000018        10.948244873073854        1.1874049357420053     
   391600.00000000000       -10.832000000000019        10.945702329586542        1.1876807543779657     
   391200.00000000000       -10.824000000000019        10.943164071782849        1.1879562359410054     
   390800.00000000000       -10.816000000000020        10.940630096825217        1.1882313801809621     
   390400.00000000000       -10.808000000000021        10.938100401864226        1.1885061868498077     
   390000.00000000000       -10.800000000000022        10.935574984038629        1.1887806557016498     
   389600.00000000000       -10.792000000000023        10.933053840475381        1.1890547864927321     
   389200.00000000000       -10.784000000000024        10.930536968289664        1.1893285789814361     
   388800.00000000000       -10.776000000000025        10.928024364584923        1.1896020329282802     
   388400.00000000000       -10.768000000000026        10.925516026452893        1.1898751480959215     
   388000.00000000000       -10.760000000000026        10.923011950973628        1.1901479242491573     
   387600.00000000000       -10.752000000000027        10.920512135215532        1.1904203611549238     
   387200.00000000000       -10.744000000000028        10.918016576235390        1.1906924585822980     
   386800.00000000000       -10.736000000000029        10.915525271078398        1.1909642163024983     
   386400.00000000000       -10.728000000000030        10.913038216778192        1.1912356340888846     
   386000.00000000000       -10.720000000000031        10.910555410356883        1.1915067117169584     
   385600.00000000000       -10.712000000000032        10.908076848825081        1.1917774489643647     
   385200.00000000000       -10.704000000000033        10.905602529181934        1.1920478456108903     
   384800.00000000000       -10.696000000000033        10.903132448415153        1.1923179014384662     
   384400.00000000000       -10.688000000000034        10.900666603501046        1.1925876162311666     
   384000.00000000000       -10.680000000000035        10.898204991404548        1.1928569897752104     
   383600.00000000000       -10.672000000000036        10.895747609079251        1.1931260218589599     
   383200.00000000000       -10.664000000000037        10.893294453467444        1.1933947122729223     
   382800.00000000000       -10.656000000000038        10.890845521500134        1.1936630608097492     
   382400.00000000000       -10.648000000000039        10.888400810097083        1.1939310672642376     
   382000.00000000000       -10.640000000000040        10.885960316166841        1.1941987314333287     
   381600.00000000000       -10.632000000000041        10.883524036606774        1.1944660531161093     
   381200.00000000000       -10.624000000000041        10.881091968303101        1.1947330321138110     
   380800.00000000000       -10.616000000000042        10.878664108130923        1.1949996682298105     
   380400.00000000000       -10.608000000000043        10.876240452954260        1.1952659612696290     
   380000.00000000000       -10.600000000000044        10.873820999626076        1.1955319110409337     
   379600.00000000000       -10.592000000000045        10.871405744988319        1.1957975173535360     
   379200.00000000000       -10.584000000000046        10.868994685871950        1.1960627800193917     
   378800.00000000000       -10.576000000000047        10.866587819096980        1.1963276988526015     
   378400.00000000000       -10.568000000000048        10.864185141472495        1.1965922736694106     
   378000.00000000000       -10.560000000000048        10.861786649796699        1.1968565042882078     
   377600.00000000000       -10.552000000000049        10.859392340856941        1.1971203905295256     
   377200.00000000000       -10.544000000000050        10.857002211429750        1.1973839322160404     
   376800.00000000000       -10.536000000000051        10.854616258280871        1.1976471291725710     
   376400.00000000000       -10.528000000000052        10.852234478165293        1.1979099812260796     
   376000.00000000000       -10.520000000000053        10.849856867827292        1.1981724882056697     
   375600.00000000000       -10.512000000000054        10.847483424000455        1.1984346499425871     
   375200.00000000000       -10.504000000000055        10.845114143407720        1.1986964662702184     
   374800.00000000000       -10.496000000000056        10.842749022761410        1.1989579370240910     
   374400.00000000000       -10.488000000000056        10.840388058763264        1.1992190620418728     
   374000.00000000000       -10.480000000000057        10.838031248104473        1.1994798411633705     
   373600.00000000000       -10.472000000000058        10.835678587465717        1.1997402742305299     
   373200.00000000000       -10.464000000000059        10.833330073517198        1.2000003610874344     
   372800.00000000000       -10.456000000000060        10.830985702918671        1.2002601015803054     
   372400.00000000000       -10.448000000000061        10.828645472319486        1.2005194955575003     
   372000.00000000000       -10.440000000000062        10.826309378358618        1.2007785428695126     
   371600.00000000000       -10.432000000000063        10.823977417664699        1.2010372433689707     
   371200.00000000000       -10.424000000000063        10.821649586856063        1.2012955969106367     
   370800.00000000000       -10.416000000000064        10.819325882540774        1.2015536033514063     
   370400.00000000000       -10.408000000000065        10.817006301316660        1.2018112625503068     
   370000.00000000000       -10.400000000000066        10.814690839771355        1.2020685743684973     
   369600.00000000000       -10.392000000000067        10.812379494482329        1.2023255386692668     
