    x(m)                          z(m)                          y(m)                        u(m/s)
   400000.00000000000       -11.000000000000000        11.000000000000000        1.1818181818181819     
   399600.00000000000       -10.992000000000001        10.997373335417791        1.1821004528538295     
   399200.00000000000       -10.984000000000002        10.994751005855981        1.1823823925685986     
   398800.00000000000       -10.976000000000003        10.992133008714424        1.1826640006715499     
   398400.00000000000       -10.968000000000004        10.989519341380610        1.1829452768738487     
   398000.00000000000       -10.960000000000004        10.986910001229697        1.1832262208887658     
   397600.00000000000       -10.952000000000005        10.984304985624531        1.1835068324316800     
   397200.00000000000       -10.944000000000006        10.981704291915678        1.1837871112200786     
   396800.00000000000       -10.936000000000007        10.979107917441450        1.1840670569735592     
   396400.00000000000       -10.928000000000008        10.976515859527929        1.1843466694138314     
   396000.00000000000       -10.920000000000009        10.973928115488999        1.1846259482647175     
   395600.00000000000       -10.912000000000010        10.971344682626366        1.1849048932521555     
   395200.00000000000       -10.904000000000011        10.968765558229597        1.1851835041041987     
   394800.00000000000       -10.896000000000011        10.966190739576135        1.1854617805510170     
   394400.00000000000       -10.888000000000012        10.963620223931333        1.1857397223249004     
   394000.00000000000       -10.880000000000013        10.961054008548482        1.1860173291602571     
   393600.00000000000       -10.872000000000014        10.958492090668839        1.1862946007936170     
   393200.00000000000       -10.864000000000015        10.955934467521656        1.1865715369636318     
   392800.00000000000       -10.856000000000016        10.953381136324204        1.1868481374110764     
   392400.00000000000       -10.848000000000017        10.950832094281804        1.1871244018788500     
   392000.00000000000       -10.840000000000018        10.948287338587859        1.1874003301119769     
   391600.00000000000       -10.832000000000019        10.945746866423878        1.1876759218576076     
   391200.00000000000       -10.824000000000019        10.943210674959508        1.1879511768650204     
   390800.00000000000       -10.816000000000020        10.940678761352560        1.1882260948856205     
   390400.00000000000       -10.808000000000021        10.938151122749041        1.1885006756729435     
   390000.00000000000       -10.800000000000022        10.935627756283180        1.1887749189826540     
   389600.00000000000       -10.792000000000023        10.933108659077465        1.1890488245725475     
   389200.00000000000       -10.784000000000024        10.930593828242664        1.1893223922025506     
   388800.00000000000       -10.776000000000025        10.928083260877857        1.1895956216347225     
   388400.00000000000       -10.768000000000026        10.925576954070472        1.1898685126332549     
   388000.00000000000       -10.760000000000026        10.923074904896305        1.1901410649644732     
   387600.00000000000       -10.752000000000027        10.920577110419559        1.1904132783968366     
   387200.00000000000       -10.744000000000028        10.918083567692870        1.1906851527009392     
   386800.00000000000       -10.736000000000029        10.915594273757337        1.1909566876495103     
   386400.00000000000       -10.728000000000030        10.913109225642554        1.1912278830174150     
   386000.00000000000       -10.720000000000031        10.910628420366642        1.1914987385816542     
   385600.00000000000       -10.712000000000032        10.908151854936278        1.1917692541213656     
   385200.00000000000       -10.704000000000033        10.905679526346725        1.1920394294178245     
   384800.00000000000       -10.696000000000033        10.903211431581866        1.1923092642544424     
   384400.00000000000       -10.688000000000034        10.900747567614234        1.1925787584167693     
   384000.00000000000       -10.680000000000035        10.898287931405042        1.1928479116924926     
   383600.00000000000       -10.672000000000036        10.895832519904216        1.1931167238714386     
   383200.00000000000       -10.664000000000037        10.893381330050428        1.1933851947455714     
   382800.00000000000       -10.656000000000038        10.890934358771123        1.1936533241089935     
   382400.00000000000       -10.648000000000039        10.888491602982556        1.1939211117579467     
   382000.00000000000       -10.640000000000040        10.886053059589823        1.1941885574908109     
   381600.00000000000       -10.632000000000041        10.883618725486890        1.1944556611081054     
   381200.00000000000       -10.624000000000041        10.881188597556630        1.1947224224124879     
   380800.00000000000       -10.616000000000042        10.878762672670851        1.1949888412087553     
   380400.00000000000       -10.608000000000043        10.876340947690331        1.1952549173038423     
   380000.00000000000       -10.600000000000044        10.873923419464850        1.1955206505068234     
   379600.00000000000       -10.592000000000045        10.871510084833224        1.1957860406289114     
   379200.00000000000       -10.584000000000046        10.869100940623335        1.1960510874834565     
   378800.00000000000       -10.576000000000047        10.866695983652168        1.1963157908859483     
   378400.00000000000       -10.568000000000048        10.864295210725839        1.1965801506540135     
   378000.00000000000       -10.560000000000048        10.861898618639632        1.1968441666074165     
   377600.00000000000       -10.552000000000049        10.859506204178034        1.1971078385680596     
   377200.00000000000       -10.544000000000050        10.857117964114764        1.1973711663599813     
   376800.00000000000       -10.536000000000051        10.854733895212808        1.1976341498093568     
   376400.00000000000       -10.528000000000052        10.852353994224455        1.1978967887444980     
   376000.00000000000       -10.520000000000053        10.849978257891328        1.1981590829958515     
   375600.00000000000       -10.512000000000054        10.847606682944420        1.1984210323959998     
   375200.00000000000       -10.504000000000055        10.845239266104127        1.1986826367796601     
   374800.00000000000       -10.496000000000056        10.842876004080280        1.1989438959836831     
   374400.00000000000       -10.488000000000056        10.840516893572184        1.1992048098470534     
   374000.00000000000       -10.480000000000057        10.838161931268651        1.1994653782108879     
   373600.00000000000       -10.472000000000058        10.835811113848033        1.1997256009184361     
   373200.00000000000       -10.464000000000059        10.833464437978254        1.1999854778150789     
   372800.00000000000       -10.456000000000060        10.831121900316850        1.2002450087483276     
   372400.00000000000       -10.448000000000061        10.828783497511003        1.2005041935678233     
   372000.00000000000       -10.440000000000062        10.826449226197573        1.2007630321253364     
   371600.00000000000       -10.432000000000063        10.824119083003135        1.2010215242747653     
   371200.00000000000       -10.424000000000063        10.821793064544012        1.2012796698721357     
   370800.00000000000       -10.416000000000064        10.819471167426316        1.2015374687755997     
   370400.00000000000       -10.408000000000065        10.817153388245975        1.2017949208454348     
   370000.00000000000       -10.400000000000066        10.814839723588776        1.2020520259440428     
   369600.00000000000       -10.392000000000067        10.812530170030394        1.2023087839359488     
   369200.00000000000       -10.384000000000068        10.810224724136434        1.2025651946878000     
   368800.00000000000       -10.376000000000069        10.807923382462462        1.2028212580683653     
   368400.00000000000       -10.368000000000070        10.805626141554043        1.2030769739485330     
   368000.00000000000       -10.360000000000070        10.803332997946777        1.2033323422013105     
   367600.00000000000       -10.352000000000071        10.801043948166335        1.2035873627018225     
   367200.00000000000       -10.344000000000072        10.798758988728490        1.2038420353273109     
   366800.00000000000       -10.336000000000073        10.796478116139166        1.2040963599571317     
   366400.00000000000       -10.328000000000074        10.794201326894459        1.2043503364727550     
   366000.00000000000       -10.320000000000075        10.791928617480684        1.2046039647577633     
   365600.00000000000       -10.312000000000076        10.789659984374406        1.2048572446978505     
   365200.00000000000       -10.304000000000077        10.787395424042481        1.2051101761808194     
   364800.00000000000       -10.296000000000078        10.785134932942089        1.2053627590965814     
   364400.00000000000       -10.288000000000078        10.782878507520772        1.2056149933371543     
   364000.00000000000       -10.280000000000079        10.780626144216471        1.2058668787966611     
   363600.00000000000       -10.272000000000080        10.778377839457564        1.2061184153713285     
   363200.00000000000       -10.264000000000081        10.776133589662900        1.2063696029594848     
   362800.00000000000       -10.256000000000082        10.773893391241840        1.2066204414615589     
   362400.00000000000       -10.248000000000083        10.771657240594291        1.2068709307800782     
   362000.00000000000       -10.240000000000084        10.769425134110744        1.2071210708196674     
   361600.00000000000       -10.232000000000085        10.767197068172315        1.2073708614870455     
   361200.00000000000       -10.224000000000085        10.764973039150776        1.2076203026910266     
   360800.00000000000       -10.216000000000086        10.762753043408598        1.2078693943425147     
   360400.00000000000       -10.208000000000087        10.760537077298984        1.2081181363545048     
   360000.00000000000       -10.200000000000088        10.758325137165913        1.2083665286420797     
   359600.00000000000       -10.192000000000089        10.756117219344171        1.2086145711224077     
   359200.00000000000       -10.184000000000090        10.753913320159393        1.2088622637147419     
   358800.00000000000       -10.176000000000091        10.751713435928098        1.2091096063404174     
   358400.00000000000       -10.168000000000092        10.749517562957731        1.2093565989228496     
   358000.00000000000       -10.160000000000093        10.747325697546700        1.2096032413875315     
   357600.00000000000       -10.152000000000093        10.745137835984409        1.2098495336620327     
   357200.00000000000       -10.144000000000094        10.742953974551302        1.2100954756759970     
   356800.00000000000       -10.136000000000095        10.740774109518901        1.2103410673611397     
   356400.00000000000       -10.128000000000096        10.738598237149839        1.2105863086512458     
   356000.00000000000       -10.120000000000097        10.736426353697908        1.2108311994821683     
   355600.00000000000       -10.112000000000098        10.734258455408087        1.2110757397918248     
   355200.00000000000       -10.104000000000099        10.732094538516588        1.2113199295201966     
   354800.00000000000       -10.096000000000100        10.729934599250891        1.2115637686093252     
   354400.00000000000       -10.088000000000100        10.727778633829782        1.2118072570033114     
   354000.00000000000       -10.080000000000101        10.725626638463398        1.2120503946483112     
   353600.00000000000       -10.072000000000102        10.723478609353258        1.2122931814925344     
   353200.00000000000       -10.064000000000103        10.721334542692304        1.2125356174862429     
   352800.00000000000       -10.056000000000104        10.719194434664946        1.2127777025817470     
   352400.00000000000       -10.048000000000105        10.717058281447091        1.2130194367334028     
   352000.00000000000       -10.040000000000106        10.714926079206192        1.2132608198976111     
