        L2 Norm                Lmax Norm
   3.1451451944588620E-007   3.8827345782976863E-007

        Y_exact              Y_numerical                     Absolute Error                Relative Error
   11.000000000000000        11.000000000000000        0.0000000000000000        0.0000000000000000     
   10.997373333842107        10.997373335417791       -1.5756835836100436E-009  -1.4327817523128074E-010
   10.994751002708510        10.994751005855981       -3.1474716166712824E-009  -2.8627038628668502E-010
   10.992133003997049        10.992133008714424       -4.7173749351259175E-009  -4.2915919352600150E-010
   10.989519335096913        10.989519341380610       -6.2836971181923218E-009  -5.7178998704013002E-010
   10.986909993382429        10.986910001229697       -7.8472677245144951E-009  -7.1423791850857200E-010
   10.984304976216180        10.984304985624531       -9.4083514312615080E-009  -8.5652678541182054E-010
   10.981704280949426        10.981704291915678       -1.0966251906552316E-008  -9.9859289833328365E-010
   10.979107904919619        10.979107917441450       -1.2521830683454027E-008  -1.1405144017068208E-009
   10.976515845453985        10.976515859527929       -1.4073943788162069E-008  -1.2821868055691743E-009
   10.973928099864864        10.973928115488999       -1.5624134874769879E-008  -1.4237504321686124E-009
   10.971344665455593        10.971344682626366       -1.7170773247698889E-008  -1.5650564056895264E-009
   10.968765539514823        10.968765558229597       -1.8714773730721390E-008  -1.7061877805028908E-009
   10.966190719321027        10.966190739576135       -2.0255107813227369E-008  -1.8470504782978519E-009
   10.963620202137935        10.963620223931333       -2.1793397309011198E-008  -1.9877920711592532E-009
   10.961053985220424        10.961054008548482       -2.3328057707772132E-008  -2.1282677504578509E-009
   10.958492065807569        10.958492090668839       -2.4861270375708955E-008  -2.2686762217294942E-009
   10.955934441132083        10.955934467521656       -2.6389573193341676E-008  -2.4087012691739715E-009
   10.953381108407420        10.953381136324204       -2.7916783551518165E-008  -2.5486909726979416E-009
   10.950832064841634        10.950832094281804       -2.9440169413419426E-008  -2.6883956615442056E-009
   10.948287307627471        10.948287338587859       -3.0960388031076036E-008  -2.8278750055733833E-009
   10.945746833946437        10.945746866423878       -3.2477441180844835E-008  -2.9671288468066319E-009
   10.943210640966722        10.943210674959508       -3.3992785475334131E-008  -3.1062899719831412E-009
   10.940678725848068        10.940678761352560       -3.5504491791016335E-008  -3.2451818283571980E-009
   10.938151085736020        10.938151122749041       -3.7013020204312852E-008  -3.3838461284905786E-009
   10.935627717765088        10.935627756283180       -3.8518091827199896E-008  -3.5222570501944471E-009
   10.933108619056648        10.933108659077465       -4.0020816882702093E-008  -3.6605158036155361E-009
   10.930593786721230        10.930593828242664       -4.1521433402635921E-008  -3.7986438992067599E-009
   10.928083217860094        10.928083260877857       -4.3017763573516277E-008  -3.9364418000780832E-009
