        L2 Norm                Lmax Norm
   3.9073088805519356E-004   4.8394023263576003E-004

        Y_exact              Y_numerical                     Absolute Error                Relative Error
   11.000000000000000        11.000000000000000        0.0000000000000000        0.0000000000000000     
   10.997373333842107        10.997371165467397        2.1683747100098572E-006   1.9717205592513071E-007
   10.994751002708510        10.994746670835580        4.3318729296970560E-006   3.9399463695266201E-007
   10.992133003997049        10.992126513510080        6.4904869692128386E-006   5.9046656066231320E-007
   10.989519335096913        10.989510690884012        8.6442129010322333E-006   7.8658698687807557E-007
   10.986909993382429        10.986899200338110        1.0793044319612477E-005   9.8235485010009899E-007
   10.984304976216180        10.984292039240740        1.2936975439359344E-005   1.1777691412766847E-006
   10.981704280949426        10.981689204947942        1.5076001483649293E-005   1.3728289433000369E-006
   10.979107904919619        10.979090694803444        1.7210116174837253E-005   1.5675332025041476E-006
   10.976515845453985        10.976496506138695        1.9339315290523018E-005   1.7618810524955927E-006
   10.973928099864864        10.973906636272888        2.1463591975745544E-005   1.9558713872027147E-006
   10.971344665455593        10.971321082512997        2.3582942596078738E-005   2.1495033940855086E-006
   10.968765539514823        10.968739842153791        2.5697361031973287E-005   2.3427760343129684E-006
   10.966190719321027        10.966162912477872        2.7806843155175898E-005   2.5356884507018277E-006
   10.963620202137935        10.963590290755695        2.9911382240399575E-005   2.7282395494297381E-006
   10.961053985220424        10.961021974245602        3.2010974821972127E-005   2.9204285340748091E-006
   10.958492065807569        10.958457960193849        3.4105613719859207E-005   3.1122542695700577E-006
   10.955934441132083        10.955898245834632        3.6195297450802855E-005   3.3037161408080473E-006
   10.953381108407420        10.953342828390115        3.8280017305325487E-005   3.4948128734371461E-006
   10.950832064841634        10.950791705070460        4.0359771174891534E-005   3.6855437957513045E-006
   10.948287307627471        10.948244873073854        4.2434553616743642E-005   3.8759079319356433E-006
   10.945746833946437        10.945702329586542        4.4504359895114476E-005   4.0659043709188951E-006
   10.943210640966722        10.943164071782849        4.6569183872691156E-005   4.2555320737732995E-006
   10.940678725848068        10.940630096825217        4.8629022851187642E-005   4.4447903160064834E-006
   10.938151085736020        10.938100401864226        5.0683871794632296E-005   4.6336781598059098E-006
   10.935627717765088        10.935574984038629        5.2733726459308627E-005   4.8221947400094751E-006
   10.933108619056648        10.933053840475381        5.4778581267456161E-005   5.0103390697112335E-006
   10.930593786721230        10.930536968289664        5.6818431566796335E-005   5.1981102468395489E-006
   10.928083217860094        10.928024364584923        5.8853275170633879E-005   5.3855075951881667E-006
   10.925576909559073        10.925516026452893        6.0883106179687729E-005   5.5725300992041447E-006
   10.923074858893038        10.923011950973628        6.2907919410548629E-005   5.7591768090220541E-006
   10.920577062928938        10.920512135215532        6.4927713406603971E-005   5.9454471162524921E-006
   10.918083518717232        10.918016576235390        6.6942481842247048E-005   6.1313399670817072E-006
   10.915594223299969        10.915525271078398        6.8952221571549899E-005   6.3168545991172317E-006
   10.913109173706523        10.913038216778192        7.0956928331256108E-005   6.5019901479787293E-006
   10.910628366954501        10.910555410356883        7.2956597618301089E-005   6.6867457276125304E-006
   10.908151800052359        10.908076848825081        7.4951227277963994E-005   6.8711206675363860E-006
   10.905679469992130        10.905602529181934        7.6940810195935683E-005   7.0551138429883829E-006
   10.903211373761373        10.903132448415153        7.8925346219449466E-005   7.2387247677673818E-006
   10.900747508329193        10.900666603501046        8.0904828147154717E-005   7.4219523097233331E-006
   10.898287870660088        10.898204991404548        8.2879255540291297E-005   7.6047959573003520E-006
   10.895832457701427        10.895747609079251        8.4848622176281197E-005   7.7872546687617446E-006
